Catalogue ID,Churchwell ID,l,b,Effective Radius (arcmin),Thickness (arcmin),Eccentricity,Position Angle (deg),Hit Rate,Dispersion (arcmin),Hierarchy Flag
MWP1G018261-002967,N22,18.261,-0.297,2.09,1.88,0.23,18,0.67,0.0070,1
MWP1G312675+000465,S128,312.675,0.046,1.49,1.27,0.41,4,0.64,0.0040,
MWP1G310982+004071,S137,310.982,0.407,3.01,3.17,0.29,43,0.62,0.011,1 2
MWP1G307391-007207,,307.391,-0.721,1.63,1.29,0.29,69,0.61,0.0070,
MWP1G343918-006487,S15,343.918,-0.649,2.09,2.37,0.26,15,0.6,0.0070,
MWP1G316519-005993,S114,316.519,-0.599,1.44,1.67,0.29,36,0.6,0.0060,
MWP1G049699-001620,N102 N103,49.699,-0.162,1.96,1.73,0.1,26,0.6,0.0070,
MWP1G338712+006434,,338.712,0.643,1.93,1.93,0.1,50,0.59,0.0060,2
MWP1G354981-005283,CS39,354.981,-0.528,1.25,1.44,0.31,22,0.59,0.0060,2
MWP1G320159+007984,S96,320.159,0.798,1.38,1.51,0.12,23,0.58,0.0090,
MWP1G063163+004407,N133,63.163,0.441,2.54,2.88,0.32,22,0.58,0.011,
MWP1G323536-003512,S86,323.536,-0.351,1.24,1.57,0.28,15,0.57,0.0050,2
MWP1G337683-003402,S37,337.683,-0.34,1.62,1.65,0.33,43,0.57,0.0090,1
MWP1G354588+000038,CS47,354.588,0.0040,1.24,1.17,0.07,5,0.56,0.0050,
MWP1G045387-007155,N95,45.387,-0.715,1.66,1.25,0.11,27,0.56,0.0090,
MWP1G317463-003466,S106,317.463,-0.347,1.69,1.56,0.09,10,0.56,0.0040,
MWP1G028006+003153,,28.006,0.315,1.83,1.66,0.1,19,0.55,0.0040,
MWP1G040421-000493,N77,40.421,-0.049,1.27,1.18,0.07,13,0.54,0.0070,
MWP1G339130-003706,,339.13,-0.371,3.03,2.31,0.09,23,0.54,0.017,1
MWP1G327988-000931,S71,327.988,-0.093,1.56,1.29,0.54,16,0.54,0.0090,2
MWP1G340601+003413,,340.601,0.341,0.47,0.44,0.37,33,0.54,0.0020,2
MWP1G013733-000160,N12,13.733,-0.016,4.0,2.79,0.23,19,0.54,0.013,
MWP1G354612+004841,CS46,354.612,0.484,1.33,1.38,0.11,23,0.54,0.0050,
MWP1G044332-008343,N92,44.332,-0.834,1.82,1.65,0.55,77,0.54,0.0090,1
MWP1G064010+007285,,64.01,0.729,0.93,0.94,0.24,10,0.54,0.0030,
MWP1G057544-002820,N123,57.544,-0.282,1.28,1.21,0.24,37,0.54,0.0090,
MWP1G340299-001980,S26,340.299,-0.198,1.5,1.59,0.31,38,0.54,0.019,1
MWP1G345484+004011,S11,345.484,0.401,2.15,2.05,0.24,18,0.54,0.011,1
MWP1G043775+000606,N90,43.775,0.061,1.55,1.37,0.26,9,0.54,0.0050,
MWP1G017921-006843,N20,17.921,-0.684,1.22,1.04,0.18,23,0.54,0.0070,
MWP1G018193-004002,N21,18.193,-0.4,2.25,2.0,0.41,19,0.54,0.0080,1
MWP1G311483+003982,S133 S134 S135 S132,311.483,0.398,1.87,1.52,0.48,19,0.53,0.0080,1
MWP1G054106-000635,N116 N117,54.106,-0.064,2.33,2.48,0.28,33,0.53,0.012,1
MWP1G044777-005495,N93,44.777,-0.549,0.74,0.79,0.33,15,0.53,0.0030,2
MWP1G312975-004354,S123,312.975,-0.435,2.14,1.83,0.2,24,0.53,0.0090,
MWP1G354683+004723,CS44,354.683,0.472,1.47,1.56,0.13,20,0.53,0.0070,
MWP1G350585-000744,CS101,350.585,-0.074,1.94,1.26,0.32,22,0.53,0.0070,
MWP1G354182-000528,CS51,354.182,-0.053,2.34,1.8,0.41,11,0.52,0.0090,
MWP1G311893+000861,,311.893,0.086,2.13,1.85,0.18,22,0.52,0.0080,1
MWP1G038907-004386,N74,38.907,-0.439,1.45,1.54,0.45,49,0.52,0.0030,
MWP1G052605+003708,,52.605,0.371,0.44,0.71,0.26,24,0.52,0.0010,2
MWP1G359737-004097,CS2,359.737,-0.41,1.69,1.28,0.26,14,0.52,0.0080,1
MWP1G299701+000151,S174,299.701,0.015,2.63,1.75,0.21,20,0.52,0.012,
MWP1G054480+009282,,54.48,0.928,2.65,3.96,0.22,19,0.52,0.01,
MWP1G023089+005617,N29 N30,23.089,0.562,2.06,1.89,0.23,30,0.52,0.03,
MWP1G341283-003407,S23,341.283,-0.341,2.02,1.81,0.14,29,0.52,0.019,
MWP1G331330-003571,S62,331.33,-0.357,1.78,1.82,0.38,27,0.52,0.016,
MWP1G330676-003859,S67,330.676,-0.386,1.22,1.22,0.61,4,0.52,0.0090,2
MWP1G329275+001097,S70,329.275,0.11,1.22,1.22,0.31,9,0.52,0.0050,
MWP1G332975+007756,,332.975,0.776,1.84,1.75,0.29,20,0.52,0.019,
MWP1G050078+005703,N105,50.078,0.57,0.88,1.11,0.07,8,0.51,0.0020,
MWP1G309550-007199,S141,309.55,-0.72,1.48,1.58,0.23,14,0.51,0.0070,
MWP1G313809+001340,S120,313.809,0.134,1.76,1.27,0.22,14,0.51,0.0060,
MWP1G001113-002654,,1.113,-0.265,2.73,1.54,0.29,23,0.51,0.012,1
MWP1G344104-006669,,344.104,-0.667,1.48,1.61,0.28,22,0.51,0.0060,
MWP1G339980-005491,,339.98,-0.549,0.97,0.84,0.3,12,0.51,0.0040,
MWP1G020322+000746,,20.322,0.075,0.42,0.38,0.04,3,0.51,0.0020,
MWP1G035001+003318,N65,35.001,0.332,2.02,1.59,0.35,8,0.51,0.0080,1
MWP1G354465+000747,CS48,354.465,0.075,1.5,1.51,0.36,8,0.5,0.0060,
MWP1G042104-006230,N82,42.104,-0.623,1.77,2.02,0.21,10,0.5,0.0060,2
MWP1G331011-001485,S64,331.011,-0.148,2.72,2.47,0.23,19,0.5,0.011,1
MWP1G347989+000549,,347.989,0.055,2.37,1.9,0.26,14,0.5,0.0080,
MWP1G053551-000082,N115,53.551,-0.0080,2.92,3.1,0.28,49,0.5,0.015,1
MWP1G317862+001517,,317.862,0.152,1.57,1.45,0.27,21,0.5,0.013,
MWP1G340734-006147,,340.734,-0.615,1.47,1.37,0.17,30,0.5,0.0080,
MWP1G321395-003135,S89,321.395,-0.314,1.16,1.27,0.06,26,0.49,0.0040,
MWP1G305384-002439,S152,305.384,-0.244,1.32,1.18,0.34,20,0.49,0.0030,
MWP1G044811-004866,N94,44.811,-0.487,2.93,2.51,0.64,25,0.49,0.013,1
MWP1G030961+005940,,30.961,0.594,1.25,1.17,0.41,22,0.49,0.0070,
MWP1G338460-002173,,338.46,-0.217,0.42,0.47,0.14,39,0.49,0.0020,
MWP1G042834-001579,N84,42.834,-0.158,1.18,1.14,0.25,17,0.49,0.0050,
MWP1G047180+003195,,47.18,0.319,1.75,1.39,0.39,15,0.49,0.0070,
MWP1G024136+004363,,24.136,0.436,2.29,1.67,0.4,16,0.49,0.0060,1
MWP1G327699+005702,S72,327.699,0.57,1.49,1.2,0.5,48,0.49,0.011,
MWP1G301626-003323,S167,301.626,-0.332,5.34,4.06,0.2,22,0.48,0.028,1
MWP1G326725+007745,,326.725,0.775,1.5,1.63,0.27,69,0.48,0.0040,
MWP1G314409-007115,,314.409,-0.711,0.82,0.77,0.34,21,0.48,0.0020,
MWP1G331374+005224,S57 S60,331.374,0.522,4.28,3.37,0.2,50,0.48,0.027,1
MWP1G353280-004780,CS58,353.28,-0.478,1.0,1.04,0.35,32,0.48,0.0030,
MWP1G024425+003359,,24.425,0.336,0.5,0.55,0.15,7,0.48,0.0010,
MWP1G031473-003459,,31.473,-0.346,0.89,0.93,0.38,47,0.48,0.0060,
MWP1G034334+002126,N62,34.334,0.213,1.57,1.14,0.05,14,0.48,0.0050,
MWP1G332317-005665,S54,332.317,-0.567,0.89,0.93,0.18,17,0.48,0.0040,
MWP1G026822+003828,N44,26.822,0.383,1.16,0.99,0.34,48,0.48,0.0030,
MWP1G332413+000521,S52 S53,332.413,0.052,2.71,2.65,0.13,12,0.48,0.0090,1
MWP1G041519+000375,N79,41.519,0.037,1.53,1.2,0.41,19,0.48,0.011,
MWP1G323803+000231,S85,323.803,0.023,1.57,1.36,0.04,37,0.48,0.0090,
MWP1G351170+004718,CS90,351.17,0.472,3.74,3.06,0.41,19,0.48,0.029,1
MWP1G314216+003417,S117,314.216,0.342,1.15,1.31,0.49,86,0.47,0.0040,
MWP1G038928-003861,N75,38.928,-0.386,0.79,0.78,0.4,25,0.47,0.0020,
MWP1G041237+003647,,41.237,0.365,2.06,1.73,0.23,31,0.47,0.014,
MWP1G337305+003333,,337.305,0.333,0.78,0.68,0.12,10,0.47,0.0020,
MWP1G358324-007417,CS16,358.324,-0.742,2.26,1.67,0.23,25,0.47,0.011,
MWP1G326787-005511,S78,326.787,-0.551,1.99,1.81,0.25,18,0.47,0.013,1
MWP1G352652-003627,CS67 CS68,352.652,-0.363,1.01,0.84,0.39,89,0.47,0.01,
MWP1G328193-004780,,328.193,-0.478,1.23,1.19,0.31,39,0.47,0.0050,
MWP1G329119-008454,,329.119,-0.845,0.47,0.65,0.19,24,0.47,0.0020,
MWP1G015014+000570,N16 N17,15.014,0.057,2.34,2.17,0.34,29,0.47,0.01,1
MWP1G351768+001015,CS77,351.768,0.102,0.72,0.68,0.5,28,0.47,0.0040,
MWP1G302634-006686,,302.634,-0.669,1.08,1.13,0.21,41,0.46,0.0050,2
MWP1G018980+000304,,18.98,0.03,3.44,2.91,0.34,35,0.46,0.027,
MWP1G025291+002939,N37,25.291,0.294,1.83,1.32,0.6,13,0.46,0.0070,2
MWP1G317989-007519,S104,317.989,-0.752,1.58,1.7,0.4,13,0.46,0.01,1 2
MWP1G315980-001816,S115,315.98,-0.182,0.87,0.73,0.2,13,0.46,0.0030,
MWP1G013189+000428,N10,13.189,0.043,1.52,1.19,0.21,22,0.46,0.0060,
MWP1G353353-001413,CS57,353.353,-0.141,1.6,1.63,0.03,15,0.46,0.0090,
MWP1G313670-001046,,313.67,-0.105,1.39,1.18,0.32,49,0.46,0.0070,
MWP1G328348+008987,,328.348,0.899,1.63,1.46,0.06,15,0.46,0.0060,
MWP1G348260+004774,S7,348.26,0.477,4.52,2.88,0.2,25,0.46,0.021,1
MWP1G336923-001922,,336.923,-0.192,1.88,1.82,0.25,48,0.46,0.0090,
MWP1G059837+000112,,59.837,0.011,1.25,1.31,0.18,23,0.46,0.0050,
MWP1G013992-001288,N14,13.992,-0.129,1.67,1.59,0.17,38,0.46,0.0090,1
MWP1G015877+005533,,15.877,0.553,1.16,1.31,0.56,69,0.46,0.0050,
MWP1G359291-002544,CS4,359.291,-0.254,1.6,1.59,0.29,30,0.46,0.0080,
MWP1G354008+006116,CS52,354.008,0.612,1.28,1.16,0.58,24,0.46,0.0090,
MWP1G027688+000778,,27.688,0.078,1.17,1.1,0.23,12,0.46,0.0050,
MWP1G337511-005455,S38,337.511,-0.546,1.55,1.51,0.45,68,0.46,0.011,
MWP1G008867-003251,CN123,8.867,-0.325,1.35,1.36,0.33,34,0.46,0.0060,
MWP1G312704+000140,S126,312.704,0.014,1.23,1.17,0.43,44,0.46,0.0060,
MWP1G312760+000734,S125,312.76,0.073,0.81,0.94,0.43,41,0.46,0.0050,
MWP1G342073+004320,S18,342.073,0.432,1.41,1.45,0.19,12,0.46,0.0090,1
MWP1G339477+001818,,339.477,0.182,0.67,0.51,0.12,17,0.45,0.0020,
MWP1G328308+004465,,328.308,0.447,1.82,1.56,0.35,31,0.45,0.017,1
MWP1G306321-003550,,306.321,-0.355,1.35,1.17,0.3,15,0.45,0.0070,
MWP1G028828-002282,N49,28.828,-0.228,1.43,1.33,0.03,30,0.45,0.0050,
MWP1G032985-003351,,32.985,-0.335,1.77,1.5,0.01,29,0.45,0.0060,
MWP1G357914-003315,,357.914,-0.331,0.4,0.41,0.37,16,0.45,0.0010,
MWP1G332071+005004,S56,332.071,0.5,0.97,1.2,0.1,9,0.45,0.0040,
MWP1G340907+001700,,340.907,0.17,1.34,1.26,0.02,31,0.45,0.0050,
MWP1G056410+004257,,56.41,0.426,1.24,1.41,0.07,24,0.45,0.0040,
MWP1G335163-002431,S42,335.163,-0.243,1.16,1.09,0.45,21,0.45,0.0040,
MWP1G061141-008957,,61.141,-0.896,1.44,1.03,0.4,8,0.45,0.0050,
MWP1G000493+001928,,0.493,0.193,0.51,0.52,0.23,5,0.45,0.0020,
MWP1G339941-005833,,339.941,-0.583,1.99,1.28,0.53,29,0.45,0.011,
MWP1G330292+004960,,330.292,0.496,1.21,1.26,0.35,20,0.45,0.0030,
MWP1G052159+007094,N110,52.159,0.709,0.61,0.63,0.15,8,0.45,0.0020,2
MWP1G051602-003374,,51.602,-0.337,1.8,1.77,0.15,12,0.45,0.014,
MWP1G046966+003154,N96 N97,46.966,0.315,3.41,2.31,0.28,13,0.45,0.016,1
MWP1G011089-003769,,11.089,-0.377,1.64,1.44,0.3,15,0.45,0.0090,1
MWP1G346111-001105,,346.111,-0.11,0.85,0.81,0.19,15,0.45,0.0030,
MWP1G028991-006023,,28.991,-0.602,1.66,1.8,0.41,41,0.45,0.011,2
MWP1G304021+004503,S162,304.021,0.45,0.92,0.79,0.49,10,0.45,0.0050,
MWP1G061667+009432,N128,61.667,0.943,2.8,1.87,0.38,87,0.45,0.0060,
MWP1G328220-005795,,328.22,-0.579,1.13,1.1,0.18,14,0.45,0.012,
MWP1G330527+005514,,330.527,0.551,1.13,1.17,0.24,11,0.44,0.0050,
MWP1G027145+006201,,27.145,0.62,0.53,0.58,0.22,24,0.44,0.0020,
MWP1G353221-002500,CS60,353.221,-0.25,1.36,1.48,0.35,24,0.44,0.0080,
MWP1G043185-005229,,43.185,-0.523,0.47,0.48,0.24,21,0.44,0.0020,
MWP1G331155-003928,,331.155,-0.393,1.5,2.03,0.17,4,0.44,0.0050,
MWP1G298413-005318,S179,298.413,-0.532,0.79,0.82,0.07,2,0.44,0.0030,
MWP1G319470-004327,,319.47,-0.433,0.47,0.65,0.0,12,0.44,0.0020,
MWP1G329657-004866,S69,329.657,-0.487,1.24,1.72,0.25,34,0.44,0.0060,
MWP1G039172-003984,,39.172,-0.398,1.28,1.05,0.11,19,0.44,0.0070,
MWP1G297498-007625,,297.498,-0.763,1.86,1.85,0.15,21,0.44,0.0080,1
MWP1G320234-000978,S94,320.234,-0.098,2.01,1.84,0.36,29,0.44,0.017,
MWP1G338841-003166,S31,338.841,-0.317,1.25,1.1,0.19,21,0.44,0.0070,
MWP1G298219-003253,S181,298.219,-0.325,1.62,1.5,0.39,13,0.44,0.015,
MWP1G339486+000872,,339.486,0.087,0.75,0.73,0.13,12,0.44,0.0030,
MWP1G033815-001494,N60,33.815,-0.149,0.65,0.68,0.27,22,0.44,0.0030,
MWP1G311483+003617,S134,311.483,0.362,0.57,0.6,0.35,11,0.44,0.0020,2
MWP1G320865-004201,S91,320.865,-0.42,2.4,2.1,0.37,36,0.44,0.013,1
MWP1G328807-000775,,328.807,-0.077,1.41,1.22,0.3,24,0.44,0.0070,
MWP1G314188+002795,S118,314.188,0.28,1.67,1.54,0.38,38,0.44,0.014,1
MWP1G309059+001661,S143,309.059,0.166,4.43,3.64,0.38,23,0.44,0.027,1
MWP1G028323+001544,N48,28.323,0.154,0.96,0.97,0.22,5,0.44,0.0030,
MWP1G018141-002783,,18.141,-0.278,2.03,2.0,0.35,30,0.43,0.011,1
MWP1G346108-003706,,346.108,-0.371,0.4,0.38,0.28,9,0.43,0.0020,2
MWP1G346327-001731,,346.327,-0.173,0.4,0.36,0.46,87,0.43,0.0010,
MWP1G329975-000051,S68,329.975,-0.0050,1.11,1.07,0.26,26,0.43,0.0040,
MWP1G342567+007370,,342.567,0.737,0.9,0.87,0.19,23,0.43,0.0040,
MWP1G345913+000107,S10,345.913,0.011,1.23,0.98,0.29,12,0.43,0.0070,
MWP1G009945-007443,CN139,9.945,-0.744,2.97,2.35,0.44,30,0.43,0.018,
MWP1G045909+004836,,45.909,0.484,0.41,0.43,0.04,18,0.43,0.0020,
MWP1G026990-000561,N45,26.99,-0.056,1.59,1.65,0.31,46,0.43,0.0090,
MWP1G041931+000351,N80,41.931,0.035,1.59,1.34,0.09,20,0.43,0.0070,
MWP1G052204+007513,N111,52.204,0.751,0.97,0.91,0.17,23,0.43,0.0030,2
MWP1G039319-002877,,39.319,-0.288,1.17,1.02,0.23,27,0.43,0.0050,
MWP1G047029+002204,N98,47.029,0.22,1.59,1.64,0.19,5,0.43,0.0070,
MWP1G312693-001139,S127,312.693,-0.114,1.97,1.7,0.43,29,0.43,0.013,
MWP1G305640+005119,S148,305.64,0.512,0.75,0.81,0.12,7,0.43,0.0030,
MWP1G342493+009855,,342.493,0.985,0.94,1.03,0.3,53,0.43,0.0020,
MWP1G341358-002876,S21,341.358,-0.288,0.81,0.78,0.43,5,0.43,0.0020,
MWP1G316378-003439,,316.378,-0.344,1.98,1.58,0.1,36,0.42,0.014,
MWP1G303341-007180,S165,303.341,-0.718,0.7,0.69,0.19,1,0.42,0.0020,
MWP1G320513-003721,,320.513,-0.372,0.34,0.39,0.16,12,0.42,0.0010,
MWP1G057471+003043,,57.471,0.304,1.26,1.37,0.16,14,0.42,0.0030,
MWP1G027518+002015,,27.518,0.201,1.35,1.28,0.26,32,0.42,0.0070,1
MWP1G006142-006403,CN77,6.142,-0.64,1.18,1.25,0.09,15,0.42,0.0070,1
MWP1G313603-005130,,313.603,-0.513,0.74,0.57,0.16,18,0.42,0.0030,
MWP1G328116+001083,,328.116,0.108,1.31,1.11,0.18,30,0.42,0.0070,
MWP1G324650-003130,S81,324.65,-0.313,1.05,1.06,0.14,15,0.42,0.0070,1
MWP1G340048-001442,S27,340.048,-0.144,1.6,1.46,0.43,64,0.42,0.011,
MWP1G343704-001300,,343.704,-0.13,1.38,1.47,0.17,30,0.42,0.0050,
MWP1G019047-005852,,19.047,-0.585,1.42,1.45,0.51,45,0.42,0.0080,2
MWP1G026329-000689,N42,26.329,-0.069,0.67,0.57,0.43,37,0.42,0.0030,
MWP1G332993+008952,,332.993,0.895,1.11,0.86,0.3,6,0.42,0.0050,
MWP1G339008+004365,,339.008,0.437,0.41,0.5,0.24,0,0.42,0.0010,
MWP1G312889-004452,S124,312.889,-0.445,1.2,1.43,0.48,15,0.41,0.0050,1
MWP1G331107+000278,S63,331.107,0.028,1.32,0.91,0.17,22,0.41,0.0050,
MWP1G309412-003691,S142,309.412,-0.369,1.73,1.55,0.36,56,0.41,0.0090,1
MWP1G048544+004785,N99,48.544,0.479,3.34,2.1,0.39,23,0.41,0.023,
MWP1G313976+001373,S119,313.976,0.137,0.65,0.67,0.3,18,0.41,0.0020,
MWP1G046823-000520,,46.823,-0.052,0.6,0.56,0.07,9,0.41,0.0040,2
MWP1G051758+004867,N108,51.758,0.487,3.12,3.16,0.26,54,0.41,0.018,1 2
MWP1G297414-006371,,297.414,-0.637,1.64,1.64,0.11,14,0.41,0.016,1
MWP1G349777+001167,CS117,349.777,0.117,0.67,0.66,0.14,10,0.41,0.0020,
MWP1G006212-001048,CN80,6.212,-0.105,0.71,0.61,0.16,5,0.41,0.0040,
MWP1G032057+000783,,32.057,0.078,0.74,0.77,0.24,8,0.41,0.0030,2
MWP1G029371-003162,,29.371,-0.316,0.38,0.49,0.12,12,0.41,0.0010,
MWP1G313791+007065,S121,313.791,0.707,1.13,1.18,0.14,32,0.41,0.0060,2
MWP1G303868-007873,S164,303.868,-0.787,1.15,1.03,0.19,19,0.41,0.0050,1 2
MWP1G011780-001471,,11.78,-0.147,1.6,1.16,0.54,10,0.41,0.0060,1
MWP1G309169-008521,,309.169,-0.852,1.47,0.96,0.33,41,0.41,0.0030,
MWP1G308715+006317,S144 S145,308.715,0.632,5.03,4.0,0.24,45,0.41,0.034,1
MWP1G034753-006701,N64,34.753,-0.67,4.23,3.06,0.4,35,0.41,0.022,1
MWP1G351660+005114,CS79,351.66,0.511,2.68,2.04,0.26,13,0.41,0.013,
MWP1G327776-006555,,327.776,-0.655,2.15,1.89,0.22,16,0.41,0.0070,1
MWP1G057114-001993,,57.114,-0.199,0.96,1.17,0.12,8,0.41,0.0040,
MWP1G334287-001536,,334.287,-0.154,1.2,1.06,0.31,28,0.41,0.0050,
MWP1G352598-001860,CS70,352.598,-0.186,1.24,1.09,0.32,27,0.41,0.0090,
MWP1G008258-004429,CN110,8.258,-0.443,0.92,0.91,0.28,11,0.41,0.0040,
MWP1G019814+000181,N27,19.814,0.018,1.07,0.96,0.27,18,0.41,0.0060,
MWP1G320098+007437,,320.098,0.744,0.48,0.65,0.61,18,0.41,0.0020,
MWP1G349091+000756,S3,349.091,0.076,1.35,1.36,0.18,16,0.4,0.0080,1 2
MWP1G027484+001817,,27.484,0.182,1.52,1.53,0.31,29,0.4,0.0080,1
MWP1G305660+004962,,305.66,0.496,0.49,0.59,0.65,62,0.4,0.0010,
MWP1G027279+001615,,27.279,0.161,0.69,0.69,0.39,16,0.4,0.0030,
MWP1G316781+001588,,316.781,0.159,0.48,0.52,0.16,16,0.4,0.0020,
MWP1G328688+004842,,328.688,0.484,0.98,0.9,0.04,9,0.4,0.0030,
MWP1G349216+001420,S2,349.216,0.142,0.63,0.62,0.24,2,0.4,0.0020,
MWP1G356244+006747,CS33,356.244,0.675,1.32,1.44,0.41,29,0.4,0.016,1
MWP1G355032-002175,,355.032,-0.217,1.77,1.28,0.61,28,0.4,0.013,
MWP1G002585-000053,,2.585,-0.0050,0.54,0.51,0.56,26,0.4,0.0030,
MWP1G334199-000687,,334.199,-0.069,0.6,0.46,0.15,14,0.4,0.0030,
MWP1G023012-004196,,23.012,-0.42,0.35,0.34,0.2,4,0.4,0.0010,2
MWP1G039598-002161,,39.598,-0.216,0.38,0.39,0.5,38,0.4,0.0020,
MWP1G051201-007383,,51.201,-0.738,4.71,3.53,0.2,29,0.4,0.032,
MWP1G008120+002342,CN107 CN109,8.12,0.234,1.44,1.36,0.56,58,0.4,0.012,
MWP1G038740-001385,N73,38.74,-0.138,1.02,1.18,0.11,20,0.4,0.0040,
MWP1G343721-002178,,343.721,-0.218,1.37,1.57,0.08,17,0.4,0.0040,
MWP1G004500-009536,CN61,4.5,-0.954,1.52,1.47,0.45,25,0.4,0.0070,
MWP1G032584+000057,N56,32.584,0.0060,1.0,0.93,0.19,6,0.4,0.0040,
MWP1G321115-002772,,321.115,-0.277,0.79,0.57,0.26,9,0.4,0.0040,
MWP1G344754-005440,S14,344.754,-0.544,4.47,3.29,0.24,33,0.4,0.014,1
MWP1G011572+003977,N3,11.572,0.398,0.83,0.96,0.47,75,0.4,0.0040,
MWP1G355878-005186,CS34,355.878,-0.519,1.12,1.25,0.51,26,0.4,0.0050,
MWP1G301551+002993,S168,301.551,0.299,1.3,1.53,0.4,9,0.4,0.0070,
MWP1G335472+000230,,335.472,0.023,0.97,1.15,0.2,7,0.4,0.0030,
MWP1G025702+000298,,25.702,0.03,0.86,0.82,0.18,63,0.4,0.0040,
MWP1G034164+001462,N61,34.164,0.146,2.66,1.88,0.13,35,0.4,0.011,
MWP1G304463-000217,S160 S161,304.463,-0.022,1.22,1.23,0.46,14,0.4,0.012,
MWP1G016638-003549,N18,16.638,-0.355,4.7,3.26,0.12,51,0.39,0.025,
MWP1G334525+008255,S44,334.525,0.825,2.62,2.38,0.41,37,0.39,0.013,1
MWP1G060662-000267,N127,60.662,-0.027,1.66,1.79,0.24,18,0.39,0.012,
MWP1G029002+000971,N50,29.002,0.097,1.78,1.51,0.41,23,0.39,0.0090,
MWP1G036269+007047,,36.269,0.705,3.61,2.57,0.09,37,0.39,0.025,
MWP1G053335+008954,,53.335,0.895,0.69,0.86,0.24,6,0.39,0.0030,
MWP1G015884+000867,,15.884,0.087,0.5,0.54,0.27,27,0.39,0.0020,
MWP1G052253+007060,N114,52.253,0.706,1.52,1.49,0.11,14,0.39,0.0090,1
MWP1G332547-001436,,332.547,-0.144,1.33,1.71,0.43,28,0.39,0.0070,1
MWP1G056157+000784,,56.157,0.078,1.0,1.12,0.17,9,0.39,0.0050,
MWP1G023041-003990,,23.041,-0.399,1.69,1.42,0.34,47,0.39,0.0080,1
MWP1G301505+005543,,301.505,0.554,1.01,1.0,0.31,10,0.39,0.0050,
MWP1G042426-002691,,42.426,-0.269,1.32,1.45,0.34,28,0.39,0.0090,1
MWP1G030613-006253,,30.613,-0.625,4.87,4.51,0.24,59,0.39,0.022,1
MWP1G029641-004548,,29.641,-0.455,1.21,1.33,0.15,18,0.39,0.0050,
MWP1G312321-003540,,312.321,-0.354,1.4,1.11,0.24,20,0.39,0.0080,1
MWP1G017330-001379,,17.33,-0.138,0.65,0.58,0.38,16,0.39,0.0050,2
MWP1G043806-001188,,43.806,-0.119,0.53,0.58,0.35,18,0.39,0.0020,2
MWP1G337965-004696,S36,337.965,-0.47,2.86,2.91,0.59,28,0.39,0.015,
MWP1G304071+001137,,304.071,0.114,1.12,0.85,0.31,10,0.39,0.0050,2
MWP1G331265-001854,,331.265,-0.185,1.54,1.63,0.14,22,0.39,0.0070,
MWP1G330288-003989,,330.288,-0.399,0.95,1.09,0.32,43,0.39,0.0050,
MWP1G031159-001445,N53,31.159,-0.145,0.76,0.75,0.13,34,0.39,0.0030,2
MWP1G319889+007680,S97,319.889,0.768,1.83,1.66,0.61,17,0.39,0.024,
MWP1G038635-002260,,38.635,-0.226,0.95,1.0,0.37,43,0.38,0.0060,
MWP1G306826-002446,,306.826,-0.245,1.42,1.43,0.2,20,0.38,0.0080,
MWP1G044698-005780,,44.698,-0.578,1.07,1.03,0.27,26,0.38,0.011,
MWP1G042011+003486,,42.011,0.349,0.71,0.8,0.17,50,0.38,0.0030,
MWP1G333501-002775,S46,333.501,-0.277,1.21,0.89,0.05,3,0.38,0.0030,
MWP1G348407+001484,S5,348.407,0.148,0.68,0.54,0.24,2,0.38,0.0040,2
MWP1G005899-004548,CN71,5.899,-0.455,4.74,3.38,0.21,26,0.38,0.043,1
MWP1G331321-001758,,331.321,-0.176,0.8,0.91,0.26,22,0.38,0.0040,
MWP1G320783+002644,,320.783,0.264,0.89,0.83,0.23,34,0.38,0.0030,
MWP1G333963+000644,,333.963,0.064,0.69,0.64,0.32,21,0.38,0.0020,
MWP1G300802-003014,S170,300.802,-0.301,1.24,1.04,0.23,27,0.38,0.0080,2
MWP1G345096+001309,,345.096,0.131,1.12,0.76,0.35,19,0.38,0.0030,
MWP1G010230-003044,CN146 N1,10.23,-0.304,1.01,1.05,0.1,12,0.38,0.0030,
MWP1G334644+004391,S43,334.644,0.439,0.84,0.83,0.19,7,0.38,0.0030,
MWP1G317512-006294,,317.512,-0.629,3.01,1.78,0.18,28,0.38,0.014,1
MWP1G027335+001852,,27.335,0.185,1.56,1.49,0.41,26,0.38,0.012,
MWP1G332865-005687,S49,332.865,-0.569,0.87,0.84,0.37,48,0.38,0.0020,2
MWP1G302079+000292,,302.079,0.029,1.03,1.03,0.33,18,0.38,0.0050,
MWP1G003978-007973,CN48,3.978,-0.797,0.93,0.97,0.38,32,0.38,0.0040,
MWP1G352611+001775,CS69,352.611,0.178,0.62,0.6,0.11,25,0.38,0.0020,
MWP1G335595-007918,,335.595,-0.792,3.17,2.25,0.44,28,0.38,0.018,1
MWP1G024497+004850,,24.497,0.485,0.77,0.62,0.26,38,0.38,0.0020,
MWP1G299878-003758,S172,299.878,-0.376,1.5,1.2,0.39,28,0.38,0.0040,
MWP1G319230+002277,S99,319.23,0.228,2.13,1.62,0.51,17,0.38,0.013,
MWP1G042203+000464,,42.203,0.046,2.69,1.91,0.35,41,0.38,0.019,
MWP1G305633-006493,,305.633,-0.649,0.71,0.8,0.54,62,0.38,0.0040,
MWP1G298930+004855,,298.93,0.486,1.73,1.33,0.26,25,0.38,0.0080,2
